Chemical_Name,CAS_Number,SMILES,Endpoint,Value,Unit,Species,Test_Guideline,Data_Quality
Benzene,71-43-2,INVALID_SMILES,LC50,135.0,mg/L,Daphnia magna,OECD 202,medium
Chlorobenzene,108-90-7,,LC50,1.14,mg/L,Daphnia magna,OECD 203,high
Bromobenzene,108-86-1,c1ccc(Br)cc1,LC50,1.5,mg/L,Pimephales promelas,OECD 202,high
Fluorobenzene,462-06-6,c1ccc(F)cc1,EC50,136.5,mg/L,Pimephales promelas,OECD 203,medium
Nitrobenzene,98-95-3,O=[N+]([O-])c1ccccc1,EC50,0.88,mg/L,Oncorhynchus mykiss,OECD 202,high
Phenol,108-95-2,c1ccc(cc1)O,EC50,11.25,mg/L,Oncorhynchus mykiss,OECD 203,high
2-Chlorophenol,95-57-8,Oc1ccccc1Cl,NOEC,0.0475,mg/L,Danio rerio,OECD 202,medium
4-Chlorophenol,106-48-9,Oc1ccc(Cl)cc1,NOEC,0.08,mg/L,Danio rerio,OECD 203,high
"2,4-Dichlorophenol",120-83-2,Oc1ccc(Cl)cc1Cl,NOEC,0.0021,mg/L,Daphnia magna,OECD 202,high
Pyridine,110-86-1,c1ccncc1,LOEC,264.0,mg/L,Daphnia magna,OECD 203,medium
2-Chloropyridine,109-09-1,Clc1ccccn1,LOEC,13.5,mg/L,Pimephales promelas,OECD 202,high
3-Chloropyridine,626-60-8,Clc1cccnc1,LOEC,17.1,mg/L,Pimephales promelas,OECD 203,high
2-Bromopyridine,109-04-6,Brc1ccccn1,LC50,2.1,mg/L,Oncorhynchus mykiss,OECD 202,medium
Aniline,62-53-3,Nc1ccccc1,LC50,89.25,mg/L,Oncorhynchus mykiss,OECD 203,high
3-Chloroaniline,108-42-9,Nc1cccc(Cl)c1,LC50,0.495,mg/L,Danio rerio,OECD 202,high
4-Chloroaniline,106-47-8,Nc1ccc(Cl)cc1,EC50,0.315,mg/L,Danio rerio,OECD 203,medium
"3,4-Dichloroaniline",95-76-1,Nc1ccc(Cl)c(Cl)c1,EC50,0.0047,mg/L,Daphnia magna,OECD 202,high
Naphthalene,91-20-3,c1ccc2ccccc2c1,EC50,1.8,mg/L,Daphnia magna,OECD 203,high
1-Methylnaphthalene,90-12-0,Cc1cccc2ccccc12,NOEC,0.1575,mg/L,Pimephales promelas,OECD 202,medium
2-Methylnaphthalene,91-57-6,Cc1ccc2ccccc2c1,NOEC,0.242,mg/L,Pimephales promelas,OECD 203,high
1-Chloronaphthalene,90-13-1,Clc1cccc2ccccc12,NOEC,0.0072,mg/L,Oncorhynchus mykiss,OECD 202,high
Ethanol,64-17-5,CCO,LOEC,4275.0,mg/L,Oncorhynchus mykiss,OECD 203,medium
Propanol,71-23-8,CCCO,LOEC,2100.0,mg/L,Danio rerio,OECD 202,high
Butanol,71-36-3,CCCCO,LOEC,892.5,mg/L,Danio rerio,OECD 203,high
Pentanol,71-41-0,CCCCCO,LC50,132.0,mg/L,Daphnia magna,OECD 202,medium
Hexanol,111-27-3,INVALID_SMILES,LC50,16.65,mg/L,Daphnia magna,OECD 203,high
Octanol,111-87-5,,LC50,2.28,mg/L,Pimephales promelas,OECD 202,high
Benzene,71-43-2,c1ccccc1,EC50,150.0,mg/L,Pimephales promelas,OECD 203,medium
Chlorobenzene,108-90-7,c1ccc(Cl)cc1,EC50,1.26,mg/L,Oncorhynchus mykiss,OECD 202,high
Bromobenzene,108-86-1,c1ccc(Br)cc1,EC50,1.65,mg/L,Oncorhynchus mykiss,OECD 203,high
Fluorobenzene,462-06-6,c1ccc(F)cc1,NOEC,117.0,mg/L,Danio rerio,OECD 202,medium
Nitrobenzene,98-95-3,O=[N+]([O-])c1ccccc1,NOEC,0.76,mg/L,Danio rerio,OECD 203,high
Phenol,108-95-2,c1ccc(cc1)O,NOEC,12.5,mg/L,Daphnia magna,OECD 202,high
2-Chlorophenol,95-57-8,Oc1ccccc1Cl,LOEC,0.0525,mg/L,Daphnia magna,OECD 203,medium
4-Chlorophenol,106-48-9,Oc1ccc(Cl)cc1,LOEC,0.088,mg/L,Pimephales promelas,OECD 202,high
"2,4-Dichlorophenol",120-83-2,Oc1ccc(Cl)cc1Cl,LOEC,0.0018,mg/L,Pimephales promelas,OECD 203,high
Pyridine,110-86-1,c1ccncc1,LC50,228.0,mg/L,Oncorhynchus mykiss,OECD 202,medium
2-Chloropyridine,109-09-1,Clc1ccccn1,LC50,15.0,mg/L,Oncorhynchus mykiss,OECD 203,high
3-Chloropyridine,626-60-8,Clc1cccnc1,LC50,18.9,mg/L,Danio rerio,OECD 202,high
2-Bromopyridine,109-04-6,Brc1ccccn1,EC50,2.31,mg/L,Danio rerio,OECD 203,medium
Aniline,62-53-3,Nc1ccccc1,EC50,76.5,mg/L,Daphnia magna,OECD 202,high
3-Chloroaniline,108-42-9,Nc1cccc(Cl)c1,EC50,0.4275,mg/L,Daphnia magna,OECD 203,high
4-Chloroaniline,106-47-8,Nc1ccc(Cl)cc1,NOEC,0.35,mg/L,Pimephales promelas,OECD 202,medium
"3,4-Dichloroaniline",95-76-1,Nc1ccc(Cl)c(Cl)c1,NOEC,0.0053,mg/L,Pimephales promelas,OECD 203,high
Naphthalene,91-20-3,c1ccc2ccccc2c1,NOEC,1.98,mg/L,Oncorhynchus mykiss,OECD 202,high
