Descriptor Name,Full Scientific Name,Source Library,Scientific Category,Functional Description & Toxicology Significance
AvgIpc,Average Information Power Content (Ipc) Index,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: AvgIpc)."
BCUT2D_CHGHI,2D BCUT Descriptor - Highest Eigenvalue of Atomic Charge Matrix,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: BCUT2D_CHGHI)."
BCUT2D_CHGLO,2D BCUT Descriptor - Lowest Eigenvalue of Atomic Charge Matrix,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: BCUT2D_CHGLO)."
BCUT2D_LOGPHI,2D BCUT Descriptor - Highest Eigenvalue of Lipophilicity (logP) Matrix,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: BCUT2D_LOGPHI)."
BCUT2D_LOGPLOW,2D BCUT Descriptor - Lowest Eigenvalue of Lipophilicity (logP) Matrix,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: BCUT2D_LOGPLOW)."
BCUT2D_MRHI,2D BCUT Descriptor - Highest Eigenvalue of Molar Refractivity Matrix,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: BCUT2D_MRHI)."
BCUT2D_MRLOW,2D BCUT Descriptor - Lowest Eigenvalue of Molar Refractivity Matrix,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: BCUT2D_MRLOW)."
BCUT2D_MWHI,2D BCUT Descriptor - Highest Eigenvalue of Atomic Mass Matrix,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: BCUT2D_MWHI)."
BCUT2D_MWLOW,2D BCUT Descriptor - Lowest Eigenvalue of Atomic Mass Matrix,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: BCUT2D_MWLOW)."
BalabanJ,Balaban's J Distance Connectivity Index,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: BalabanJ)."
BertzCT,Bertz Complexity Topological Index,RDKit,General RDKit Descriptor,"Physicochemical, topological, or structural property calculated by the RDKit engine (Name: BertzCT)."
Chi0,Kier-Hall / Randic Simple Connectivity Index of Order 0,RDKit,Topological Connectivity,Kier-Hall / Randic connectivity index representing molecular branching and valence electron environments (Type: Chi0).
