Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_9025,EFSA FEEDAP,2012,155,Animal (target species) health,subchronic,Rat,oral: unspecified,90.0,NOAEL,=,10.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,10.0,=,,True,9025,138.16,,DPZNOMCNRMUKPS-UHFFFAOYSA-N,False,,
CID_34286,EFSA FEEDAP,2016,2768,Animal (target species) health,subchronic,Rat,Not reported,90.0,NOAEL,=,5.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,5.0,=,,True,34286,114.17,,RUYNUXHHUVUINQ-UHFFFAOYSA-N,False,,
Essential oil from Origanum vulgare subsp. hirtum (Link) letsw.,EFSA FEEDAP,2019,3354,Animal (target species) health,subchronic,Rat,oral: feed,90.0,NOAEL,=,200.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,200.0,=,,True,,,,,False,,Not Found
Ginger essential oil (Zingiber officinale Roscoe),EFSA,2020,3638,Animal (target species) health,subchronic,Rat,oral: gavage,90.0,NOAEL,=,500.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,500.0,=,,True,,,,,False,,Not Found
CID_6276,EFSA FEEDAP,2013,2209,Animal (target species) health,subchronic,Rat,oral: gavage,90.0,NOAEL,=,1000.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,1000.0,=,,True,6276,88.15,,AMQJEAYHLZJPGS-UHFFFAOYSA-N,False,,
CID_493570,EFSA FEEDAP,2016,2752,Animal (target species) health,subchronic,Rat,Not reported,90.0,NOAEL,=,160.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,160.0,=,,True,493570,376.4,,AUNGANRZJHBGPY-SCRDCRAPSA-N,False,,
CID_23687712,EFSA FEEDAP,2016,2752,Animal (target species) health,subchronic,Rat,Not reported,90.0,NOAEL,=,160.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,160.0,=,,True,23687712,514.4,,LQVGUKOCMOKKJU-QPVGXXQTSA-M,False,,
CID_5281792,EFSA FEEDAP,2020,3488,Animal (target species) health,subchronic,Rat,oral: gavage,90.0,NOAEL,=,300.0,mg/kg bw,no adverse effect observed at single/highest dose,,300.0,=,,True,5281792,360.3,,DOUMFZQKYFQNTF-WUTVXBCWSA-N,False,,
CID_5372813,EFSA FEEDAP,2017,2920,Animal (target species) health,subchronic,Rat,oral: feed,90.0,NOAEL,=,220.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,220.0,=,,True,5372813,146.19,,VLUMOWNVWOXZAU-VQHVLOKHSA-N,False,,
"bis-(2,5-Dimethyl-3-furyl) disulfide",EFSA FEEDAP,2016,2768,Animal (target species) health,subchronic,Rat,Not reported,90.0,NOAEL,=,0.29,mg/kg bw/day,no adverse effect observed at single/highest dose,,0.29,=,,True,,,,,False,,Not Found
