Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_643820,EFSA FEEDAP,2016,2841,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,345.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,345.0,=,,True,643820,154.25,,GLZPCOQZEFWAFX-YFHOEESVSA-N,False,,
CID_638011,EFSA FEEDAP,2016,2841,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,345.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,345.0,=,,True,638011,152.23,,WTEVQBCEXWBHNA-JXMROGBWSA-N,False,,
CID_637566,EFSA FEEDAP,2016,2841,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,345.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,345.0,=,,True,637566,154.25,,GLZPCOQZEFWAFX-JXMROGBWSA-N,False,,
CID_1549026,EFSA FEEDAP,2016,2841,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,345.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,345.0,=,,True,1549026,196.29,,HIGQPQRQIQDZMP-DHZHZOJOSA-N,False,,
CID_5355856,EFSA FEEDAP,2016,2841,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,345.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,345.0,=,,True,5355856,224.34,,ZSBOMYJPSRFZAL-JLHYYAGUSA-N,False,,
CID_5282109,EFSA FEEDAP,2016,2841,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,345.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,345.0,=,,True,5282109,182.26,,FQMZVFJYMPNUCT-YRNVUSSQSA-N,False,,
CID_6086514,EFSA FEEDAP,2016,2841,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,345.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,345.0,=,,True,6086514,224.34,,OGJYXQFXLSCKTP-UKTHLTGXSA-N,False,,
CID_5355853,EFSA FEEDAP,2016,2841,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,345.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,345.0,=,,True,5355853,210.31,,BYCHQEILESTMQU-FMIVXFBMSA-N,False,,
CID_1549025,EFSA FEEDAP,2016,2841,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,345.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,345.0,=,,True,1549025,196.29,,HIGQPQRQIQDZMP-FLIBITNWSA-N,False,,
CID_5354882,EFSA FEEDAP,2016,2841,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,345.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,345.0,=,,True,5354882,182.26,,FQMZVFJYMPNUCT-XFFZJAGNSA-N,False,,
CID_5365991,EFSA FEEDAP,2016,2841,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,345.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,345.0,=,,True,5365991,224.34,,OGJYXQFXLSCKTP-LCYFTJDESA-N,False,,
CID_5365982,EFSA FEEDAP,2016,2841,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,345.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,345.0,=,,True,5365982,210.31,,BYCHQEILESTMQU-XFXZXTDPSA-N,False,,
