Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_5362814,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98.0,NOAEL,=,127.0,mg/kg bw/day,other,systemic,127.0,=,,True,5362814,112.17,,VVGOCOMZRGWHPI-ARJAWSKDSA-N,False,,
CID_5362792,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98.0,NOAEL,=,127.0,mg/kg bw/day,other,systemic,127.0,=,,True,5362792,142.24,,XJHRZBIBSSVCEL-ARJAWSKDSA-N,False,,
CID_110914,EFSA FEEDAP,2017,2920,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,275.0,mg/kg bw/day,clinical chemistry,systemic,275.0,=,,True,110914,204.31,,YLIXVKUWWOQREC-UHFFFAOYSA-N,False,,
CID_31234,EFSA FEEDAP,2017,2920,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,275.0,mg/kg bw/day,clinical chemistry,systemic,275.0,=,,True,31234,136.19,,VAJVDSVGBWFCLW-UHFFFAOYSA-N,False,,
CID_7707,EFSA FEEDAP,2017,2920,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,275.0,mg/kg bw/day,clinical chemistry,systemic,275.0,=,,True,7707,134.17,,YGCZTXZTJXYWCO-UHFFFAOYSA-N,False,,
CID_7662,EFSA FEEDAP,2017,2920,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,275.0,mg/kg bw/day,clinical chemistry,systemic,275.0,=,,True,7662,206.28,,VBTAKMZSMFMLGT-UHFFFAOYSA-N,False,,
CID_637511,EFSA FEEDAP,2017,2920,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,275.0,mg/kg bw/day,clinical chemistry,systemic,275.0,=,,True,637511,132.16,,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,False,,
CID_444539,EFSA FEEDAP,2017,2920,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,275.0,mg/kg bw/day,clinical chemistry,systemic,275.0,=,,True,444539,148.16,,WBYWAXJHAXSJNI-VOTSOKGWSA-N,False,,
CID_5282110,EFSA FEEDAP,2017,2920,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,275.0,mg/kg bw/day,clinical chemistry,systemic,275.0,=,,True,5282110,176.21,,WJSDHUCWMSHDCR-VMPITWQZSA-N,False,,
CID_5315892,EFSA FEEDAP,2017,2920,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,275.0,mg/kg bw/day,clinical chemistry,systemic,275.0,=,,True,5315892,134.17,,OOCCDEMITAIZTP-QPJJXVBHSA-N,False,,
CID_5355254,EFSA FEEDAP,2017,2920,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,275.0,mg/kg bw/day,clinical chemistry,systemic,275.0,=,,True,5355254,204.26,,YZYPQKZWNXANRB-UXBLZVDNSA-N,False,,
CID_5355851,EFSA FEEDAP,2017,2920,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,275.0,mg/kg bw/day,clinical chemistry,systemic,275.0,=,,True,5355851,204.26,,KLKQSZIWHVEARN-RMKNXTFCSA-N,False,,
CID_5355855,EFSA FEEDAP,2017,2920,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,275.0,mg/kg bw/day,clinical chemistry,systemic,275.0,=,,True,5355855,218.29,,FOCMOGKCPPTERB-RMKNXTFCSA-N,False,,
CID_637758,EFSA FEEDAP,2017,2920,Animal (target species) health,subchronic,Rat,oral: feed,98.0,NOAEL,=,275.0,mg/kg bw/day,clinical chemistry,systemic,275.0,=,,True,637758,176.21,,KBEBGUQPQBELIU-CMDGGOBGSA-N,False,,
Hex-3(cis)-en-1-ol,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98.0,NOAEL,=,127.0,mg/kg bw/day,other,systemic,127.0,=,,True,,,,,False,,Not Found
Hex-3(cis)-enal,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98.0,NOAEL,=,127.0,mg/kg bw/day,other,systemic,127.0,=,,True,,,,,False,,Not Found
Hex-3(cis)-enyl acetate,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98.0,NOAEL,=,127.0,mg/kg bw/day,other,systemic,127.0,=,,True,,,,,False,,Not Found
