Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_24883,EFSA,2006,1083,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.032,mg/L,growth,,0.032,=,,True,24883,110.97,,UOORRWUZONOOLO-UHFFFAOYSA-N,False,,
CID_24883,EFSA,2009,1196,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.032,mg/L,growth,,0.032,=,,True,24883,110.97,,UOORRWUZONOOLO-UHFFFAOYSA-N,False,,
CID_24883,EFSA,2018,3157,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.0069,mg/L,growth,,0.0069,=,,True,24883,110.97,,UOORRWUZONOOLO-UHFFFAOYSA-N,False,,
CID_15604010,EFSA,2012,1349,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.048,mg/L,growth,,0.048,=,,True,15604010,275.39,,GGKQIOFASHYUJZ-UHFFFAOYSA-N,False,,
CID_3034285,EFSA,2010,1209,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.147,mg/L,growth,,0.147,=,,True,3034285,403.4,,WFDXOXNFNRHQEC-GHRIWEEISA-N,False,,
CID_92431,EFSA PPR,2020,3700,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.024,mg/L,other,,0.024,=,,True,92431,349.7,,JBDHZKLJNAIJNC-LLVKDONJSA-N,False,,
CID_11578610,EFSA,2014,2551,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,2.9,mg/L,growth,,2.9,=,,True,11578610,473.7,,DVBUIBGJRQBEDP-UHFFFAOYSA-N,False,,
CID_86138,EFSA,2010,1212,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.023,mg/L,growth,,0.023,=,,True,86138,336.8,,RQDJADAKIFFEKQ-UHFFFAOYSA-N,False,,
CID_9834513,EFSA,2010,1204,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,10.0,mg/L,not reported,,10.0,=,,True,9834513,229.16,,RLQJEEJISHYWON-UHFFFAOYSA-N,False,,
CID_67420724,EFSA,2018,3114,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,29.8,mg/L,other,,29.8,=,,True,67420724,349.11,,XFZUQTKDBCOXPP-UHFFFAOYSA-N,False,,
CID_70495450,EFSA,2018,3114,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.037,mg/L,development,,0.037,=,,True,70495450,439.2,,WNZCDFOXYNRBRB-UHFFFAOYSA-N,False,,
CID_11159021,EFSA,2009,1186,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.155,mg/L,growth,,0.155,=,,True,11159021,383.6,,GBOYJIHYACSLGN-UHFFFAOYSA-N,False,,
CID_11158353,EFSA,2013,2177,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.135,mg/L,behaviour,,0.135,=,,True,11158353,396.71,,KVDJTXBXMWJJEF-UHFFFAOYSA-N,False,,
CID_91727,EFSA,2010,1254,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,4.8,mg/L,other,,4.8,=,,True,91727,301.29,,JWUCHKBSVLQQCO-UHFFFAOYSA-N,False,,
CID_16095400,EFSA,2012,1321,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.0359,mg/L,growth,,0.0359,=,,True,16095400,381.3,,SXSGXWCSHSVPGB-UHFFFAOYSA-N,False,,
CID_73672,EFSA,2010,1233,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.4,mg/L,mortality,,0.4,=,,True,73672,332.4,,PMHURSZHKKJGBM-UHFFFAOYSA-N,False,,
CID_9969573,EFSA,2013,2365,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.534,mg/L,other,,0.534,=,,True,9969573,373.4,,CLSVJBIHYWPGQY-UHFFFAOYSA-N,False,,
CID_39040,EFSA,2015,2626,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,0.743,mg/L,other,,0.743,=,,True,39040,189.24,,DQJCHOQLCLEDLL-UHFFFAOYSA-N,False,,
CID_11338509,EFSA,2013,2366,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,33.0,NOEC,=,12.0,mg/L,growth,,12.0,=,,True,11338509,398.9,,DBXFMOWZRXXBRN-LWKPJOBUSA-N,False,,
