Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_92389,EFSA,2008,1131,Human health,chronic/long term toxicity,Mouse,Not reported,560.0,NOAEL,=,7.1,mg/kg bw/day,histopathology neoplastic,systemic,7.1,=,,True,92389,264.66,,DDBMQDADIHOWIC-UHFFFAOYSA-N,False,,
CID_5281224,EFSA FEEDAP,2007,140,Human health,chronic/long term toxicity,Mouse,oral: unspecified,560.0,NOAEL,=,14.0,mg/kg bw/day,body weight,systemic,14.0,=,,True,5281224,596.8,,MQZIGYBFDRPAKN-UWFIBFSHSA-N,False,,
Astaxanthin dimethyldisuccinate,EFSA FEEDAP,2007,140,Human health,chronic/long term toxicity,Mouse,oral: unspecified,560.0,NOAEL,=,14.0,mg/kg bw/day,body weight,systemic,14.0,=,,True,,,,,False,,Not Found
Brown HT,EFSA ANS,2010,408,Human health,chronic/long term toxicity,Mouse,oral: feed,560.0,NOAEL,=,143.0,mg/kg bw/day,histopathology non neoplastic,systemic,143.0,=,,True,,,,,True,"20687,6536776,9570176",Ambiguous Identity
Brown HT,EFSA ANS,2014,2508,Human health,chronic/long term toxicity,Mouse,oral: feed,560.0,NOAEL,=,143.0,mg/kg bw/day,histopathology non neoplastic,systemic,143.0,=,,True,,,,,True,"20687,6536776,9570176",Ambiguous Identity
CID_11046239,EFSA ANS,2017,2957,Human health,chronic/long term toxicity,Mouse,oral: feed,560.0,NOAEL,=,2600.0,mg/kg bw/day,body weight,systemic,2600.0,=,,True,11046239,346.5,,LWZFANDGMFTDAV-BURFUSLBSA-N,False,,
CID_11046239,EFSA FEEDAP,2019,3188,Human health,chronic/long term toxicity,Mouse,oral: feed,560.0,NOAEL,=,2600.0,mg/kg bw/day,body weight,systemic,2600.0,=,,True,11046239,346.5,,LWZFANDGMFTDAV-BURFUSLBSA-N,False,,
CID_9920342,EFSA ANS,2017,2957,Human health,chronic/long term toxicity,Mouse,oral: feed,560.0,NOAEL,=,2600.0,mg/kg bw/day,body weight,systemic,2600.0,=,,True,9920342,428.6,,NWGKJDSIEKMTRX-AAZCQSIUSA-N,False,,
CID_16212480,EFSA ANS,2017,2957,Human health,chronic/long term toxicity,Mouse,oral: feed,560.0,NOAEL,=,2600.0,mg/kg bw/day,body weight,systemic,2600.0,=,,True,16212480,402.6,,IYFATESGLOUGBX-YVNJGZBMSA-N,False,,
CID_16218600,EFSA ANS,2017,2957,Human health,chronic/long term toxicity,Mouse,oral: feed,560.0,NOAEL,=,2600.0,mg/kg bw/day,body weight,systemic,2600.0,=,,True,16218600,430.6,,HVUMOYIDDBPOLL-XWVZOOPGSA-N,False,,
CID_15181202,EFSA ANS,2017,2957,Human health,chronic/long term toxicity,Mouse,oral: feed,560.0,NOAEL,=,2600.0,mg/kg bw/day,body weight,systemic,2600.0,=,,True,15181202,963.5,,IJCWFDPJFXGQBN-RYNSOKOISA-N,False,,
