Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_11304,EFSA,2013,2422,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,10.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,10.0,=,,True,11304,156.22,,APQSQLNWAIULLK-UHFFFAOYSA-N,False,,
CID_1486,EFSA,2014,2555,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,5.0,mg/kg bw/day,organ weights,nephrotoxicity,5.0,=,,True,1486,221.03,,OVSKIKFHRZPJSS-UHFFFAOYSA-N,False,,
CID_1486,EFSA,2016,2826,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,2.48,mg/kg bw/day,organ weights,nephrotoxicity,2.48,=,,True,1486,221.03,,OVSKIKFHRZPJSS-UHFFFAOYSA-N,False,,
CID_1489,EFSA,2016,2826,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,2.48,mg/kg bw/day,organ weights,nephrotoxicity,2.48,=,,True,1489,249.09,,YIVXMZJTEQBPQO-UHFFFAOYSA-N,False,,
CID_166920,EFSA ANS,2018,3063,Human health,chronic/long term toxicity,Rat,oral: feed,730.0,NOAEL,=,4.4,mg/kg bw/day,urinalysis,nephrotoxicity,4.4,=,,True,166920,292.11,,BAZQCHGUTMBXBU-UHFFFAOYSA-N,False,,
CID_21307,EFSA,2010,1252,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,0.82,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,0.82,=,,True,21307,235.3,,GYSSRZJIHXQEHQ-UHFFFAOYSA-N,False,,
CID_7956,"EFSA CEF, EFSA CONTAM",2010,86,Human health,chronic/long term toxicity,Rat,oral: drinking water,730.0,NOAEL,=,154.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,154.0,=,,True,7956,129.07,,ZFSLODLOARCGLH-UHFFFAOYSA-N,False,,
CID_7956,EFSA CONTAM,2007,85,Human health,chronic/long term toxicity,Rat,oral: drinking water,730.0,NOAEL,=,154.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,154.0,=,,True,7956,129.07,,ZFSLODLOARCGLH-UHFFFAOYSA-N,False,,
CID_135515530,EFSA,2009,1180,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,4.4,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,4.4,=,,True,135515530,412.4,,ACMXQHFNODYQAT-UHFFFAOYSA-N,False,,
CID_2912,EFSA,2018,3129,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,0.5,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,0.5,=,,True,2912,416.3,,KAATUXNTWXVJKI-UHFFFAOYSA-N,False,,
CID_50465,EFSA,2011,1287,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,80.0,mg/kg bw/day,not reported,nephrotoxicity,80.0,=,,True,50465,255.03,,MEFQWPUMEMWTJP-UHFFFAOYSA-N,False,,
CID_6328269,EFSA,2006,1065,Human health,chronic/long term toxicity,Rat,oral: unspecified,730.0,NOAEL,=,300.0,mg/kg bw/day,clinical chemistry,nephrotoxicity,300.0,=,,True,6328269,351.08,,OIPMQULDKWSNGX-UHFFFAOYSA-N,False,,
CID_73672,EFSA,2010,1233,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,5.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,5.0,=,,True,73672,332.4,,PMHURSZHKKJGBM-UHFFFAOYSA-N,False,,
CID_7153,EFSA,2017,2954,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,1.0,mg/kg bw/day,organ weights,nephrotoxicity,1.0,=,,True,7153,214.64,,WNTGYJSOUMFZEP-UHFFFAOYSA-N,False,,
CID_185588,EFSA,2017,2954,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,1.0,mg/kg bw/day,organ weights,nephrotoxicity,1.0,=,,True,185588,214.64,,WNTGYJSOUMFZEP-SSDOTTSWSA-N,False,,
CID_86422,EFSA,2010,1214,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,5.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,5.0,=,,True,86422,418.3,,VGHPMIFEKOFHHQ-UHFFFAOYSA-N,False,,
CID_11784975,EFSA,2009,1194,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,5.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,5.0,=,,True,11784975,483.4,,SYJGKVOENHZYMQ-UHFFFAOYSA-N,False,,
CID_210326,EFSA,2013,2424,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,10.0,mg/kg bw/day,histopathology non neoplastic,nephrotoxicity,10.0,=,,True,210326,400.5,,MGOHCFMYLBAPRN-UHFFFAOYSA-N,False,,
CID_9605257,EFSA ANS,2018,3063,Human health,chronic/long term toxicity,Rat,oral: feed,730.0,NOAEL,=,4.4,mg/kg bw/day,urinalysis,nephrotoxicity,4.4,=,,True,9605257,368.34,,XOGGUFAVLNCTRS-UHFFFAOYSA-N,False,,
CID_182951,EFSA,2015,2610,Human health,chronic/long term toxicity,Rat,Not reported,730.0,NOAEL,=,20.0,mg/kg bw/day,organ weights,nephrotoxicity,20.0,=,,True,182951,413.2,,APTZNLHMIGJTEW-UHFFFAOYSA-N,False,,
