Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_7822,EFSA AFC,2005,2060,Human health,subchronic,Rat,oral: gavage,91.0,NOAEL,=,82.0,mg/kg bw/day,clinical signs,neurotoxicity,82.0,=,,True,7822,128.21,,PSBKJPTZCVYXSD-UHFFFAOYSA-N,False,,
CID_7822,EFSA AFC,2008,2255,Human health,subchronic,Rat,oral: gavage,91.0,NOAEL,=,82.0,mg/kg bw/day,behaviour,neurotoxicity,82.0,=,,True,7822,128.21,,PSBKJPTZCVYXSD-UHFFFAOYSA-N,False,,
CID_7822,EFSA CEF,2009,2006,Human health,subchronic,Rat,oral: gavage,91.0,NOAEL,=,82.0,mg/kg bw/day,behaviour,neurotoxicity,82.0,=,,True,7822,128.21,,PSBKJPTZCVYXSD-UHFFFAOYSA-N,False,,
CID_7822,EFSA CEF,2010,2069,Human health,subchronic,Rat,oral: gavage,91.0,NOAEL,=,82.0,mg/kg bw/day,behaviour,neurotoxicity,82.0,=,,True,7822,128.21,,PSBKJPTZCVYXSD-UHFFFAOYSA-N,False,,
CID_7822,EFSA CEF,2012,2143,Human health,subchronic,Rat,oral: gavage,91.0,NOAEL,=,82.0,mg/kg bw/day,behaviour,neurotoxicity,82.0,=,,True,7822,128.21,,PSBKJPTZCVYXSD-UHFFFAOYSA-N,False,,
CID_7822,EFSA CEF,2017,2903,Human health,subchronic,Rat,oral: gavage,91.0,NOAEL,=,82.0,mg/kg bw/day,neurology,neurotoxicity,82.0,=,,True,7822,128.21,,PSBKJPTZCVYXSD-UHFFFAOYSA-N,False,,
CID_7822,EFSA CEF,2017,2914,Human health,subchronic,Rat,oral: gavage,91.0,NOAEL,=,82.0,mg/kg bw/day,neurology,neurotoxicity,82.0,=,,True,7822,128.21,,PSBKJPTZCVYXSD-UHFFFAOYSA-N,False,,
CID_6129,EFSA,2006,1089,Human health,subchronic,Rat,oral: gavage,91.0,NOAEL,=,1.0,mg/kg bw/day,clinical signs,neurotoxicity,1.0,=,,True,6129,201.22,,CVXBEEMKQHEXEN-UHFFFAOYSA-N,False,,
CID_3082,EFSA,2013,2363,Human health,subchronic,Rat,oral: feed,91.0,NOAEL,=,0.06,mg/kg bw/day,clinical chemistry,neurotoxicity,0.06,=,,True,3082,229.3,,MCWXGJITAZMZEV-UHFFFAOYSA-N,False,,
CID_12901,EFSA,2006,1084,Human health,subchronic,Rat,Not reported,91.0,NOAEL,=,1.5,mg/kg bw/day,clinical chemistry,neurotoxicity,1.5,=,,True,12901,317.3,,LMNZTLDVJIUSHT-UHFFFAOYSA-N,False,,
CID_12901,EFSA,2011,1292,Human health,subchronic,Rat,Not reported,91.0,NOAEL,=,1.5,mg/kg bw/day,neurology,neurotoxicity,1.5,=,,True,12901,317.3,,LMNZTLDVJIUSHT-UHFFFAOYSA-N,False,,
CID_34526,EFSA,2005,1058,Human health,subchronic,Rat,Not reported,91.0,NOAEL,=,2.1,mg/kg bw/day,clinical signs,neurotoxicity,2.1,=,,True,34526,305.34,,QHOQHJPRIBSPCY-UHFFFAOYSA-N,False,,
CID_39385,EFSA PPR,2009,927,Human health,subchronic,Rat,Not reported,91.0,NOAEL,=,3.4,mg/kg bw/day,not reported,neurotoxicity,3.4,=,,True,39385,293.75,,WURBVZBTWMNKQT-UHFFFAOYSA-N,False,,
