Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity,value_numeric,value_qualifier,value_unit,value_qsar_ready,PubChem_CID,PubChem_MW,PubChem_CanonicalSMILES,PubChem_InChIKey,PubChem_Ambiguous,PubChem_Candidate_CIDs,PubChem_Error
CID_522224,EFSA AFC,2009,2318,Human health,subchronic,Rat,oral: feed,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,522224,132.23,,LEZZIANNWFYCND-UHFFFAOYSA-N,False,,
CID_522224,EFSA CEF,2010,2007,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,522224,132.23,,LEZZIANNWFYCND-UHFFFAOYSA-N,False,,
CID_522224,EFSA CEF,2010,2056,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,522224,132.23,,LEZZIANNWFYCND-UHFFFAOYSA-N,False,,
CID_522224,EFSA CEF,2011,2082,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,522224,132.23,,LEZZIANNWFYCND-UHFFFAOYSA-N,False,,
CID_522224,EFSA CEF,2012,2117,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,522224,132.23,,LEZZIANNWFYCND-UHFFFAOYSA-N,False,,
CID_522224,EFSA CEF,2012,2141,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,522224,132.23,,LEZZIANNWFYCND-UHFFFAOYSA-N,False,,
CID_100851,EFSA CEF,2010,2007,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,100851,120.17,,SBJPKUSFMZKDRZ-UHFFFAOYSA-N,False,,
CID_100851,EFSA CEF,2010,2056,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,100851,120.17,,SBJPKUSFMZKDRZ-UHFFFAOYSA-N,False,,
CID_100851,EFSA CEF,2011,2082,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,100851,120.17,,SBJPKUSFMZKDRZ-UHFFFAOYSA-N,False,,
CID_100851,EFSA CEF,2012,2117,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,100851,120.17,,SBJPKUSFMZKDRZ-UHFFFAOYSA-N,False,,
CID_100851,EFSA CEF,2012,2141,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,100851,120.17,,SBJPKUSFMZKDRZ-UHFFFAOYSA-N,False,,
CID_87762,EFSA AFC,2009,2318,Human health,subchronic,Rat,oral: feed,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,87762,120.22,,KRUJXSIEMOWXOF-UHFFFAOYSA-N,False,,
CID_87762,EFSA CEF,2010,2007,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,87762,120.22,,KRUJXSIEMOWXOF-UHFFFAOYSA-N,False,,
CID_87762,EFSA CEF,2010,2056,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,87762,120.22,,KRUJXSIEMOWXOF-UHFFFAOYSA-N,False,,
CID_87762,EFSA CEF,2011,2082,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,87762,120.22,,KRUJXSIEMOWXOF-UHFFFAOYSA-N,False,,
CID_87762,EFSA CEF,2012,2117,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,87762,120.22,,KRUJXSIEMOWXOF-UHFFFAOYSA-N,False,,
CID_87762,EFSA CEF,2012,2141,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,87762,120.22,,KRUJXSIEMOWXOF-UHFFFAOYSA-N,False,,
CID_122423559,EFSA CEF,2012,2117,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,122423559,202.36,,WZRMFIROSHXUJB-UHFFFAOYSA-N,False,,
CID_122423559,EFSA CEF,2012,2141,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,122423559,202.36,,WZRMFIROSHXUJB-UHFFFAOYSA-N,False,,
CID_86043,EFSA AFC,2009,2318,Human health,subchronic,Rat,oral: feed,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,86043,134.2,,QWAKSOMWGWIYQP-UHFFFAOYSA-N,False,,
CID_86043,EFSA CEF,2010,2007,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,86043,134.2,,QWAKSOMWGWIYQP-UHFFFAOYSA-N,False,,
CID_86043,EFSA CEF,2010,2056,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,86043,134.2,,QWAKSOMWGWIYQP-UHFFFAOYSA-N,False,,
CID_86043,EFSA CEF,2011,2082,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,86043,134.2,,QWAKSOMWGWIYQP-UHFFFAOYSA-N,False,,
CID_86043,EFSA CEF,2012,2117,Human health,subchronic,Rat,oral: gavage,98.0,NOAEL,=,250.0,mg/kg bw/day,no adverse effect observed at single/highest dose,,250.0,=,,True,86043,134.2,,QWAKSOMWGWIYQP-UHFFFAOYSA-N,False,,
